label,sms
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,When i have stuff to sell i.ll tell you
ham,Ugh fuck it I'm resubbing to eve
ham,Change windows logoff sound..
ham,"ItåäÌÝÌás Ì´å£6 to get in, is that ok?"
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Nah im goin 2 the wrks with j wot bout u?
ham,Ok... Let u noe when i leave my house.
ham,Yo you around? A friend of mine's lookin to pick up later tonight
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! IåäÌÝÌáll bring one anyway
ham,"Yeah, that's fine! It's Ì´å£6 to get in, is that ok? "
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Ì´å£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
ham,"Aight fuck it, I'll get it later"
ham,I'm fine. Hope you are good. Do take care.
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
ham,Can a not?
ham,Prabha..i'm soryda..realy..frm heart i'm sory
ham,i see. When we finish we have loads of loans to pay
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
ham,Good. do you think you could send me some pix? I would love to see your top and bottom...
ham,I am in your office na.
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
ham,Where are you?when wil you reach here?
ham,Good. No swimsuit allowed :)
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
ham,I'll probably be by tomorrow (or even later tonight if something's going on)
ham,Merry christmas to u too annie!
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
ham,Just got outta class gonna go gym.
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,"Haha, that was the first person I was gonna ask"
ham,K..k..i'm also fine:)when will you complete the course?
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
ham,I had askd u a question some hours before. Its answer
spam,RCT' THNQ Adrian for U text. Rgds Vatian
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,Is ur lecture over?
ham,That's y u haf 2 keep me busy...
ham,"Don't Think About \What u Have Got\"" Think About \""How to Use It That You Have Got\"" gooD ni8"""
ham,ÌÎÌ still got lessons?  ÌÎÌ in sch?
spam,"Romantic Paris. 2 nights, 2 flights from Ì´å£79 Book now 4 next year. Call 08704439680Ts&Cs apply."
spam,Win a Ì´å£1000 cash prize or a prize worth Ì´å£5000
spam,URGENT This is our 2nd attempt to contact U. Your Ì´å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
ham,"I'm not coming over, do whatever you want"
ham,Does not operate after  &lt;#&gt;  or what
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,K I'll be there before 4.
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
spam,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for Ì´å£3/wk
ham,He needs to stop going to bed and make with the fucking dealing
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a Ì´å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopÌ´å£1.50/week
ham,Well boy am I glad G wasted all night at applebees for nothing
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
ham,Kallis is ready for bat in 2nd innings
ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
ham,Thanks for this hope you had a good day today
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,Even i cant close my eyes you are in me our vava playing umma :-D
ham,I told your number to gautham..
ham,Pls confirm the time to collect the cheque.
ham,Am only searching for good dual sim mobile pa.
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Ì´å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,Lovely smell on this bus and it ain't tobacco... 
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message"
ham,"Until 545 lor... Ya, can go 4 dinner together..."
ham,You can jot down things you want to remember later.
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
ham,I have no money 4 steve mate! !
ham,"K, can that happen tonight?"
